,date,daily_new_kyc,daily_new_card,daily_first_spend,daily_total_spend,daily_average_spend,Pessoas,Crescimento ,Projeção de Pessoas ,Projeção de média,Conversão de conta para Cartão ,Conversão de cartão para gastar com cartão,Meta final 
0,1/11/2024,110,84,45,"$22.954,43","45,18588583",1031,"8,87%",-,-,"76,36%","53,57%","20,62%"
1,2/11/2024,150,122,69,"$9.902,71","16,58745394",1153,"11,83%",-,-,"81,33%","56,56%","23,06%"
2,3/11/2024,68,53,29,"$9.060,68","19,82643326",1206,"4,60%",-,-,"77,94%","54,72%","24,12%"
3,4/11/2024,65,49,26,"$11.009,24","23,93313043",1255,"4,06%",-,-,"75,38%","53,06%","25,10%"
4,5/11/2024,62,50,28,"$16.813,54","31,36854478",1305,"3,98%",-,-,"80,65%","56,00%","26,10%"
5,6/11/2024,85,70,34,"$13.770,28","21,9972524",1375,"5,36%",-,-,"82,35%","48,57%","27,50%"
6,7/11/2024,87,66,31,"$9.358,39","15,24167752",1441,"4,80%",-,-,"75,86%","46,97%","28,82%"
7,8/11/2024,76,58,27,"$18.738,49","26,57941844",1499,"4,02%",-,-,"76,32%","46,55%","29,98%"
8,9/11/2024,74,59,25,"$15.292,04","18,76323926",1558,"3,94%",-,-,"79,73%","42,37%","31,16%"
9,10/11/2024,131,106,47,"$13.154,65","16,75751592",1664,"6,80%",-,-,"80,92%","44,34%","33,28%"
10,11/11/2024,142,111,52,"$18.122,48","21,09718277",1775,"6,67%",-,-,"78,17%","46,85%","35,50%"
11,12/11/2024,143,94,26,"$21.532,81","23,7406946",1869,"5,30%",-,-,"65,73%","27,66%","37,38%"
12,13/11/2024,110,80,33,"$19.692,87","22,95206294",1949,"4,28%",-,-,"72,73%","41,25%","38,98%"
13,14/11/2024,148,105,36,"$25.291,86","23,65936389",2054,"5,39%",-,-,"70,95%","34,29%","41,08%"
14,15/11/2024,123,97,34,"$20.512,77","19,81910145",2151,"4,72%",-,-,"78,86%","35,05%","43,02%"
15,16/11/2024,103,81,27,"$22.500,25","16,59310472",2232,"3,77%",-,-,"78,64%","33,33%","44,64%"
16,17/11/2024,82,58,19,"$29.424,55","24,27768152",2290,"2,60%",-,-,"70,73%","32,76%","45,80%"
17,18/11/2024,109,81,21,"$24.329,42","20,91953568",2371,"3,54%",-,-,"74,31%","25,93%","47,42%"
18,19/11/2024,142,110,27,"$26.090,18","20,73941176",2481,"4,64%",-,-,"77,46%","24,55%","49,62%"
19,20/11/2024,123,83,16,"$28.986,67","22,89626382",2564,"3,35%",-,-,"67,48%","19,28%","51,28%"
20,21/11/2024,113,85,12,"$26.290,21","25,9528233",2649,"3,32%",-,-,"75,22%","14,12%","52,98%"
21,22/11/2024,142,110,35,"$31.265,42","27,81620996",2759,"4,15%",2.715,2.755,"77,46%","31,82%","55,18%"
22,23/11/2024,117,83,25,"$26.181,38","20,32715839",2842,"3,01%",2.781,2.865,"70,94%","30,12%","56,84%"
